"Activo","Nombre","Clase","Pais Sede","Tipo de Activo","Activo /|Cancelado","Codigo","Bolsa / Fuente","Descripción del|tipo valor","Fecha del|Inicio de la Serie","Fecha de la|Ult Cotización","Moneda de las|Cotizaciones","Sector NAICS|ult disponib","Sector|Economatica"
"ACERLA<XMEX>","Acer Latinoamerica","","MX","Accion","cancelado","ACERLA","BMV","-","1996-07-19","2000-04-12","Peso Mexico","Fabricación de computadoras y equipo periférico","Electroelectronic"
"AGRIEXPA<XMEX>","Agro Ind Exportador","A","MX","Accion","cancelado","AGRIEXPA","BMV","-","1996-12-20","2005-08-12","Peso Mexico","Agricultura","Agro & Pesca"
"ALSA<XMEX>","Almacenadora Acce","Ord","MX","Accion","cancelado","ALSA","BMV","-","1999-09-30","2002-03-19","Peso Mexico","Servicios de almacenamiento","Otros"
"AMTELA1<XMEX>","America Telecom","A1","MX","Accion","cancelado","AMTELA1","BMV","-","2002-05-02","2007-01-19","Peso Mexico","Telecomunicaciones","Telecomunicación"
"APASCO<XMEX>","Apasco","Ord","MX","Accion","cancelado","APASCO","BMV","-","1991-12-02","2004-05-17","Peso Mexico","Fabricación de cemento y productos de concreto","Minerales no Met"
"ARGOSB<XMEX>","Argos Embotelladora","B","MX","Accion","cancelado","ARGOSB","BMV","-","1998-11-16","2003-01-23","Peso Mexico","Industria de las bebidas","Alimentos y Beb"
"ARISTOSB<XMEX>","Aristos Consorcio","B","MX","Accion","cancelado","ARISTOSB","BMV","-","1992-01-02","2012-11-09","Peso Mexico","Construcción","Construcción"
"UNIFINA old<XMEX>","Arrendadora Unifin Old","A","MX","Accion","cancelado","UNIFINA old","BMV","-","2015-05-21","2019-04-12","Peso Mexico","Servicios financieros y de seguros","Finanzas y Seguros"
"AXISB<XMEX>","Axis Sistemas","B","MX","Accion","cancelado","AXISB","BMV","-","1991-12-02","2000-08-25","Peso Mexico","Servicios de apoyo a los negocios","Otros"
"BANACCIO<XMEX>","Banamex Accival GF","O","MX","Accion","cancelado","BANACCIO","BMV","-","1991-12-02","2001-09-06","Peso Mexico","Bancos","Finanzas y Seguros"
"COMPART_O<XMEX>","Banco Compartamos","O","MX","Accion","cancelado","COMPART_O","BMV","-","2007-04-19","2011-10-04","Peso Mexico","Bancos","Finanzas y Seguros"
"BBVPROB<XMEX>","BBV-Probursa GF","B","MX","Accion","cancelado","BBVPROB","BMV","-","1991-12-02","2000-08-25","Peso Mexico","Bancos","Finanzas y Seguros"
"PAPPELA<XMEX>","Bio Pappel","A","MX","Accion","cancelado","PAPPELA","BMV","-","1994-07-15","2006-08-14","Peso Mexico","Fabricación de pulpa, papel y cartón","Papel y Celulosa"
"MOVILAB<XMEX>","Biper","B","MX","Accion","cancelado","MOVILAB","BMV","-","1997-06-20","2007-09-24","Peso Mexico","Telecomunicaciones","Telecomunicación"
"BUFETECPO<XMEX>","Bufete Industrial","CPO","MX","Accion","cancelado","BUFETECPO","BMV","-","1994-09-21","1999-07-13","Peso Mexico","Construcción pesada y ingeniería civil","Construcción"
"CAMPUSA<XMEX>","Campus","A","MX","Accion","cancelado","CAMPUSA","BMV","-","1998-12-17","2001-04-16","Peso Mexico","Cultivo en invernaderos y viveros, y floricultura","Agro & Pesca"
"CAMPUSB<XMEX>","Campus","B","MX","Accion","cancelado","CAMPUSB","BMV","-","1999-01-14","1999-05-31","Peso Mexico","Cultivo en invernaderos y viveros, y floricultura","Agro & Pesca"
"TELECOMA1<XMEX>","Carso Global Teleco","A1","MX","Accion","cancelado","TELECOMA1","BMV","-","1996-07-26","2011-01-19","Peso Mexico","Telecomunicaciones","Telecomunicación"
"CICSAB-1<XMEX>","Carso Infraestr.","B-1","MX","Accion","cancelado","CICSAB-1","BMV","-","2005-10-20","2012-05-18","Peso Mexico","Construcción de obras para el suministro de agua, petróleo, gas, energía eléctrica y telecomunicaciones","Construcción"
"CBIGFA<XMEX>","Cbi Gpo Fin","A","MX","Accion","cancelado","CBIGFA","BMV","-","1998-11-13","1998-11-13","Peso Mexico","Actividades bursátiles, cambiarias y de inversión financiera","Finanzas y Seguros"
"CBIGFB<XMEX>","Cbi Gpo Fin","B","MX","Accion","cancelado","CBIGFB","BMV","-","1998-11-13","1998-11-13","Peso Mexico","Actividades bursátiles, cambiarias y de inversión financiera","Finanzas y Seguros"
"AMEXICOA<XMEX>","Cintra","A","MX","Accion","cancelado","AMEXICOA","BMV","-","1996-06-28","2007-12-21","Peso Mexico","Transporte aéreo regular","Transporte Servic"
"KOFL<XMEX>","Coca Cola Femsa","L","MX","Accion","cancelado","KOFL","BMV","-","1993-09-14","2019-04-10","Peso Mexico","Industria de las bebidas","Alimentos y Beb"
"COMERCIUB<XMEX>","Comercial Mexicana","UB","MX","Accion","cancelado","COMERCIUB","BMV","-","1996-09-10","2013-12-27","Peso Mexico","Grandes almacenes","Comercio"
"COMERCIUBC<XMEX>","Comercial Mexicana","UBC","MX","Accion","cancelado","COMERCIUBC","BMV","-","1991-12-02","2016-07-08","Peso Mexico","Grandes almacenes","Comercio"
"CONTAL<XMEX>","Continental Grupo","Ord","MX","Accion","cancelado","CONTAL","BMV","-","1991-12-02","2011-05-31","Peso Mexico","Industria de las bebidas","Alimentos y Beb"
"COFARA<XMEX>","Control de Farmacia","A","MX","Accion","cancelado","COFARA","BMV","-","2000-03-13","2000-03-14","Peso Mexico","Tienda de artículos de salud y cuidados personales","Comercio"
"COFARB<XMEX>","Control de Farmacia","B","MX","Accion","cancelado","COFARB","BMV","-","1994-05-03","2002-09-26","Peso Mexico","Tienda de artículos de salud y cuidados personales","Comercio"
"ALMACO2<XMEX>","Coppel","2","MX","Accion","cancelado","ALMACO2","BMV","-","1998-01-20","1998-01-28","Peso Mexico","Grandes almacenes","Comercio"
"COVARRA<XMEX>","Covarra Grupo","Ord","MX","Accion","cancelado","COVARRA","BMV","-","1997-07-24","2002-05-28","Peso Mexico","Fabricación de telas","Textil"
"CYDSASAC<XMEX>","Cydsa","C","MX","Accion","cancelado","CYDSASAC","BMV","-","2005-10-20","2008-04-30","Peso Mexico","Fabricación de otros productos químicos","Química"
"DIANAA<XMEX>","Diana Editorial","A","MX","Accion","cancelado","DIANAA","BMV","-","1998-08-17","2005-09-07","Peso Mexico","Edición de periódicos, revistas, libros y similares","Otros"
"DIANAB<XMEX>","Diana Editorial","B","MX","Accion","cancelado","DIANAB","BMV","-","1998-08-17","2005-12-08","Peso Mexico","Edición de periódicos, revistas, libros y similares","Otros"
"DINAL<XMEX>","Dina Grupo","L","MX","Accion","cancelado","DINAL","BMV","-","1999-12-16","2000-12-14","Peso Mexico","Fabricación de automóviles y camiones","Vehículos y Pieza"
"DINA<XMEX>","Dina Grupo","Ord","MX","Accion","cancelado","DINA","BMV","-","1993-03-31","2001-02-12","Peso Mexico","Fabricación de automóviles y camiones","Vehículos y Pieza"
"DIXON<XMEX>","Dixon Ticonderoga","","MX","Accion","cancelado","DIXON","BMV","-","1994-09-14","2007-01-15","Peso Mexico","Otras industrias manufactureras","Otros"
"DUTY<XMEX>","Duty Free","","MX","Accion","cancelado","DUTY","BMV","-","1997-12-22","2003-01-13","Peso Mexico","Otras tiendas de mercancias diversas","Comercio"
"ECE<XMEX>","Ece","Ord","MX","Accion","cancelado","ECE","BMV","-","1997-04-16","2001-04-17","Peso Mexico","Servicios de preparación de alimentos y bebidas","Otros"
