"Activo","Nombre","Clase","Pais Sede","Tipo de Activo","Activo /|Cancelado","Codigo","Bolsa / Fuente","Descripción del|tipo valor","Fecha del|Inicio de la Serie","Fecha de la|Ult Cotización","Moneda de las|Cotizaciones","Sector NAICS|ult disponib","Sector|Economatica"
"POSADASL<XMEX>","Posadas Gpo","L","MX","Accion","cancelado","POSADASL","BMV","-","1992-12-21","2013-01-08","Peso Mexico","Hoteles, moteles y similares","Otros"
"QBINDUSA<XMEX>","Q.B. Industrias","A","MX","Accion","cancelado","QBINDUSA","BMV","-","1998-12-03","1999-10-15","Peso Mexico","Fabricación de productos químicos básicos","Química"
"QBINDUSB<XMEX>","Q.B. Industrias","B","MX","Accion","cancelado","QBINDUSB","BMV","-","1998-09-04","1999-10-15","Peso Mexico","Fabricación de productos químicos básicos","Química"
"QTELB<XMEX>","Qtel","B","MX","Accion","cancelado","QTELB","BMV","-","1999-08-24","1999-08-25","Peso Mexico","Transporte por ferrocarril","Transporte Servic"
"QAold<XMEX>","Qualitas","A","MX","Accion","cancelado","QAold","BMV","-","-","-","Peso Mexico","Instituciones de seguros","Finanzas y Seguros"
"QBold<XMEX>","Qualitas","B","MX","Accion","cancelado","QBold","BMV","-","-","-","Peso Mexico","Instituciones de seguros","Finanzas y Seguros"
"QCPOold<XMEX>","Qualitas","CPO","MX","Accion","cancelado","QCPOold","BMV","-","2005-03-15","2013-03-11","Peso Mexico","Instituciones de seguros","Finanzas y Seguros"
"REALTURA<XMEX>","Real Turismo","A","MX","Accion","cancelado","REALTURA","BMV","-","-","-","Peso Mexico","Hoteles, moteles y similares","Otros"
"REGIOEMB<XMEX>","Regioem B","","MX","Accion","cancelado","REGIOEMB","BMV","-","1997-02-07","2003-09-24","Peso Mexico","Fabricación de pinturas, recubrimientos y adhesivos","Química"
"SAB<XMEX>","Saba Casa Grupo","*","MX","Accion","cancelado","SAB","BMV","-","1993-12-07","2013-05-14","Peso Mexico","Servicios de investigación científica y desarrollo","Otros"
"SAVIAA<XMEX>","Savia","A","MX","Accion","cancelado","SAVIAA","BMV","-","1991-12-03","2005-04-28","Peso Mexico","Cultivo de semillas oleaginosas, leguminosas y cereales","Agro & Pesca"
"SEARSB1<XMEX>","Sears Roebuck","B1","MX","Accion","cancelado","SEARSB1","BMV","-","1992-03-17","1998-10-07","Peso Mexico","Grandes almacenes","Comercio"
"SEGCOAMA<XMEX>","Seguros Com America","A","MX","Accion","cancelado","SEGCOAMA","BMV","-","1992-02-26","2001-11-06","Peso Mexico","Instituciones de seguros","Finanzas y Seguros"
"SEGCOAMB<XMEX>","Seguros Com America","B","MX","Accion","cancelado","SEGCOAMB","BMV","-","1992-02-26","2001-11-06","Peso Mexico","Instituciones de seguros","Finanzas y Seguros"
"SIDEKA<XMEX>","Sidek Grupo","A","MX","Accion","cancelado","SIDEKA","BMV","-","1995-02-14","1999-03-15","Peso Mexico","Hoteles, moteles y similares","Otros"
"SIDEKB<XMEX>","Sidek Grupo","B","MX","Accion","cancelado","SIDEKB","BMV","-","1991-12-02","1999-03-15","Peso Mexico","Hoteles, moteles y similares","Otros"
"SIDEKL<XMEX>","Sidek Grupo","L","MX","Accion","cancelado","SIDEKL","BMV","-","1995-02-08","1999-03-15","Peso Mexico","Hoteles, moteles y similares","Otros"
"SIGMAB<XMEX>","Sigma Grupo","B","MX","Accion","cancelado","SIGMAB","BMV","-","1994-09-19","2000-07-25","Peso Mexico","Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles","Alimentos y Beb"
"SIMECA<XMEX>","Simec Grupo","A","MX","Accion","cancelado","SIMECA","BMV","-","-","-","Peso Mexico","Industria básica del hierro y del acero","Siderur & Metalur"
"SITURA<XMEX>","Situr Grupo","A","MX","Accion","cancelado","SITURA","BMV","-","-","-","Peso Mexico","Hoteles, moteles y similares","Otros"
"SITURB<XMEX>","Situr Grupo","B","MX","Accion","cancelado","SITURB","BMV","-","1991-12-05","1999-03-15","Peso Mexico","Hoteles, moteles y similares","Otros"
"SURESTEA<XMEX>","Sureste Gpo Fin","A","MX","Accion","cancelado","SURESTEA","BMV","-","1994-04-06","1995-03-08","Peso Mexico","Servicios financieros y de seguros","Finanzas y Seguros"
"SURESTEB<XMEX>","Sureste Gpo Fin","B","MX","Accion","cancelado","SURESTEB","BMV","-","1994-04-06","1995-03-08","Peso Mexico","Servicios financieros y de seguros","Finanzas y Seguros"
"SYNKROA<XMEX>","Synkro Industrias","A","MX","Accion","cancelado","SYNKROA","BMV","-","1998-02-09","2003-10-16","Peso Mexico","Fabricación de prendas de vestir de tejido de punto","Textil"
"SYNKROC<XMEX>","Synkro Industrias","C","MX","Accion","cancelado","SYNKROC","BMV","-","1993-10-11","2002-08-06","Peso Mexico","Fabricación de prendas de vestir de tejido de punto","Textil"
"TEKCHEMA<XMEX>","Tekchem","A","MX","Accion","cancelado","TEKCHEMA","BMV","-","1996-09-27","2008-04-03","Peso Mexico","Fabricación de otros productos químicos","Química"
"TELMEXA<XMEX>","Telefs de Mex","A","MX","Accion","cancelado","TELMEXA","BMV","-","1991-12-02","2012-12-07","Peso Mexico","Operadores de servicios de telecomunicaciones vía satélite","Telecomunicación"
"TELMEXL<XMEX>","Telefs de Mex","L","MX","Accion","cancelado","TELMEXL","BMV","-","1991-12-02","2012-12-07","Peso Mexico","Operadores de servicios de telecomunicaciones vía satélite","Telecomunicación"
"SITESAA<XMEX>","Telesites","AA","MX","Accion","cancelado","SITESAA","BMV","-","-","-","Peso Mexico","Otros servicios de telecomunicaciones","Telecomunicación"
"SITESL<XMEX>","Telesites","L","MX","Accion","cancelado","SITESL","BMV","-","2015-12-21","2016-07-14","Peso Mexico","Otros servicios de telecomunicaciones","Telecomunicación"
"TLEVISAA<XMEX>","Televisa Gpo","A","MX","Accion","cancelado","TLEVISAA","BMV","-","1999-12-06","2005-06-10","Peso Mexico","Otros servicios de telecomunicaciones","Telecomunicación"
"TLEVISAB<XMEX>","Televisa Gpo","B","MX","Accion","cancelado","TLEVISAB","BMV","-","2004-10-04","2004-10-04","Peso Mexico","Otros servicios de telecomunicaciones","Telecomunicación"
"TLEVISAD<XMEX>","Televisa Gpo","D","MX","Accion","cancelado","TLEVISAD","BMV","-","2004-10-04","2004-10-04","Peso Mexico","Otros servicios de telecomunicaciones","Telecomunicación"
"TLEVISAL<XMEX>","Televisa Gpo","L","MX","Accion","cancelado","TLEVISAL","BMV","-","2004-10-04","2004-10-04","Peso Mexico","Otros servicios de telecomunicaciones","Telecomunicación"
"TELINTA<XMEX>","Telmex Interna","A","MX","Accion","cancelado","TELINTA","BMV","-","2008-06-09","2011-04-27","Peso Mexico","Otros servicios de telecomunicaciones","Telecomunicación"
"TELINTL<XMEX>","Telmex Interna","L","MX","Accion","cancelado","TELINTL","BMV","-","2008-06-09","2011-04-27","Peso Mexico","Otros servicios de telecomunicaciones","Telecomunicación"
"TENUSB-1<XMEX>","Tenedora US","B-1","MX","Accion","cancelado","TENUSB-1","BMV","-","2002-07-08","2002-08-16","Peso Mexico","Tienda de equipos electrónicos","Comercio"
"TUACEROA<XMEX>","Tubacero","A","MX","Accion","cancelado","TUACEROA","BMV","-","1995-04-11","1995-04-11","Peso Mexico","Fabricación de productos de hierro y acero","Siderur & Metalur"
"TUACEROB<XMEX>","Tubacero","B","MX","Accion","cancelado","TUACEROB","BMV","-","1995-04-11","1995-04-11","Peso Mexico","Fabricación de productos de hierro y acero","Siderur & Metalur"
"TAMSA<XMEX>","Tubos de Acero Mex","Ord","MX","Accion","cancelado","TAMSA","BMV","-","1991-12-02","2002-12-13","Peso Mexico","Fabricación de productos de hierro y acero","Siderur & Metalur"
"UNEFONA<XMEX>","Unefon","A","MX","Accion","cancelado","UNEFONA","BMV","-","2000-12-15","2005-07-04","Peso Mexico","Telecomunicaciones","Telecomunicación"
"UNICAB<XMEX>","Union de Capitales","B","MX","Accion","cancelado","UNICAB","BMV","-","1998-03-20","2002-01-31","Peso Mexico","Corporativos","Otros"
"CNCIB<XMEX>","Universidad CNCI","B","MX","Accion","cancelado","CNCIB","BMV","-","1997-07-21","2011-11-11","Peso Mexico","Tienda de equipos electrónicos","Comercio"
"USCOMB-1<XMEX>","US Commercial","B-1","MX","Accion","cancelado","USCOMB-1","BMV","-","2002-07-09","2007-12-13","Peso Mexico","Tienda de equipos electrónicos","Comercio"
"VALLEB<XMEX>","Valle Jugos Del","B","MX","Accion","cancelado","VALLEB","BMV","-","1994-03-28","2007-08-30","Peso Mexico","Industria de las bebidas","Alimentos y Beb"
"VALUEGFA<XMEX>","Value GF","A","MX","Accion","cancelado","VALUEGFA","BMV","-","1998-07-14","2000-11-08","Peso Mexico","Otros servicios relacionados con la intermediación bursátil","Finanzas y Seguros"
"VZT<XMEX>","Verzatec","Ord","MX","Accion","cancelado","VZT","BMV","-","2006-06-28","2008-06-30","Peso Mexico","Fabricación de productos de hierro y acero","Siderur & Metalur"
"VIDEO<XMEX>","Video Visa Gpo","Ord","MX","Accion","cancelado","VIDEO","BMV","-","1997-04-23","2000-12-21","Peso Mexico","Otros servicios recreativos","Otros"
"VISTAB<XMEX>","Vista Oil & Gas","B","MX","Accion","cancelado","VISTAB","BMV","-","-","-","Peso Mexico","Extracción de petróleo y gas","Petróleo y Gas"
"WALMEXC<XMEX>","Wal Mart de Mexico","C","MX","Accion","cancelado","WALMEXC","BMV","-","1991-12-02","2004-02-27","Peso Mexico","Grandes almacenes","Comercio"
