Activo,Nombre,Clase,Pais Sede,Tipo de Activo,Activo /|Cancelado,Codigo,Bolsa / Fuente,Descripción del|tipo valor,Fecha del|Inicio de la Serie,Fecha de la|Ult Cotización,Moneda de las|Cotizaciones,Sector NAICS|ult disponib,Sector|Economatica
CABLECPO<XMEX>,Cablevision,CPO,MX,Accion,activo,CABLECPO,BMV,Acciones,09/04/2002,30/09/2024,Peso Mexico,Telecomunicaciones,Telecomunicación
GCC<XMEX>,Cementos Chihuahua,*,MX,Accion,activo,GCC,BMV,Acciones,27/02/1992,08/05/2026,Peso Mexico,Fabricación de cemento y productos de concreto,Minerales no Met
CEMEXCPO<XMEX>,Cemex,CPO,MX,Accion,activo,CEMEXCPO,BMV,Acciones,03/04/1992,08/05/2026,Peso Mexico,Fabricación de cemento y productos de concreto,Minerales no Met
CHDRAUIB<XMEX>,Chedraui Grupo,B,MX,Accion,activo,CHDRAUIB,BMV,Acciones,30/04/2010,08/05/2026,Peso Mexico,Grandes almacenes,Comercio
CIDMEGA<XMEX>,Cid Mega Resort,*,MX,Accion,activo,CIDMEGA,BMV,Acciones,29/09/1997,08/05/2026,Peso Mexico,"Hoteles, moteles y similares",Otros
CMRB<XMEX>,Cmr,B,MX,Accion,activo,CMRB,BMV,Acciones,02/06/1997,08/05/2026,Peso Mexico,Otras industrias alimentarias,Alimentos y Beb
KOFUBL<XMEX>,Coca Cola Femsa,UBL,MX,Accion,activo,KOFUBL,BMV,Acciones,05/06/2018,08/05/2026,Peso Mexico,Industria de las bebidas,Alimentos y Beb
COLLADO<XMEX>,Collado,*,MX,Accion,activo,COLLADO,BMV,Acciones,22/07/1997,27/12/2023,Peso Mexico,Industria básica del hierro y del acero,Siderur & Metalur
CTALPEKA<XMEX>,Controladora Alpek,A,MX,Accion,activo,CTALPEKA,BMV,Acciones,07/04/2025,08/12/2025,Peso Mexico,Fabricación de productos derivados del petróleo y del carbón,Petróleo y Gas
NMKA<XMEX>,Controladora Nemak Innovative Lighweighting,A,MX,Accion,activo,NMKA,BMV,Acciones,14/12/2020,03/09/2021,Peso Mexico,Fabricación de partes para vehículos automotores,Vehículos y Pieza
CONVERA<XMEX>,Convertidora Ind.,A,MX,Accion,activo,CONVERA,BMV,Acciones,09/02/1998,06/05/2026,Peso Mexico,Fabricación de productos de plástico,Otros
