Activo,Nombre,Clase,Pais Sede,Tipo de Activo,Activo /|Cancelado,Codigo,Bolsa / Fuente,Descripción del|tipo valor,Fecha del|Inicio de la Serie,Fecha de la|Ult Cotización,Moneda de las|Cotizaciones,Sector NAICS|ult disponib,Sector|Economatica
COMERCIUBC<XMEX>,Comercial Mexicana,UBC,MX,Accion,cancelado,COMERCIUBC,BMV,-,02/12/1991,08/07/2016,Peso Mexico,Grandes almacenes,Comercio
CONTAL<XMEX>,Continental Grupo,Ord,MX,Accion,cancelado,CONTAL,BMV,-,02/12/1991,31/05/2011,Peso Mexico,Industria de las bebidas,Alimentos y Beb
COFARA<XMEX>,Control de Farmacia,A,MX,Accion,cancelado,COFARA,BMV,-,13/03/2000,14/03/2000,Peso Mexico,Tienda de artículos de salud y cuidados personales,Comercio
COFARB<XMEX>,Control de Farmacia,B,MX,Accion,cancelado,COFARB,BMV,-,03/05/1994,26/09/2002,Peso Mexico,Tienda de artículos de salud y cuidados personales,Comercio
ALMACO2<XMEX>,Coppel,2,MX,Accion,cancelado,ALMACO2,BMV,-,20/01/1998,28/01/1998,Peso Mexico,Grandes almacenes,Comercio
COVARRA<XMEX>,Covarra Grupo,Ord,MX,Accion,cancelado,COVARRA,BMV,-,24/07/1997,28/05/2002,Peso Mexico,Fabricación de telas,Textil
CYDSASAC<XMEX>,Cydsa,C,MX,Accion,cancelado,CYDSASAC,BMV,-,20/10/2005,30/04/2008,Peso Mexico,Fabricación de otros productos químicos,Química
DIANAA<XMEX>,Diana Editorial,A,MX,Accion,cancelado,DIANAA,BMV,-,17/08/1998,07/09/2005,Peso Mexico,"Edición de periódicos, revistas, libros y similares",Otros
DIANAB<XMEX>,Diana Editorial,B,MX,Accion,cancelado,DIANAB,BMV,-,17/08/1998,08/12/2005,Peso Mexico,"Edición de periódicos, revistas, libros y similares",Otros
DINAL<XMEX>,Dina Grupo,L,MX,Accion,cancelado,DINAL,BMV,-,16/12/1999,14/12/2000,Peso Mexico,Fabricación de automóviles y camiones,Vehículos y Pieza
DINA<XMEX>,Dina Grupo,Ord,MX,Accion,cancelado,DINA,BMV,-,31/03/1993,12/02/2001,Peso Mexico,Fabricación de automóviles y camiones,Vehículos y Pieza
DIXON<XMEX>,Dixon Ticonderoga,,MX,Accion,cancelado,DIXON,BMV,-,14/09/1994,15/01/2007,Peso Mexico,Otras industrias manufactureras,Otros
DUTY<XMEX>,Duty Free,,MX,Accion,cancelado,DUTY,BMV,-,22/12/1997,13/01/2003,Peso Mexico,Otras tiendas de mercancias diversas,Comercio
ECE<XMEX>,Ece,Ord,MX,Accion,cancelado,ECE,BMV,-,16/04/1997,17/04/2001,Peso Mexico,Servicios de preparación de alimentos y bebidas,Otros
EDOARDOB<XMEX>,Edoardo,B,MX,Accion,cancelado,EDOARDOB,BMV,-,28/10/1992,08/04/2014,Peso Mexico,Tienda de ropas,Comercio
EMVASAB<XMEX>,Embot Valle Anahuac,B,MX,Accion,cancelado,EMVASAB,BMV,-,29/11/1993,23/03/2001,Peso Mexico,Industria de las bebidas,Alimentos y Beb
EMPAQB<XMEX>,Empaques Ponderosa,B,MX,Accion,cancelado,EMPAQB,BMV,-,28/10/1996,12/01/2005,Peso Mexico,"Fabricación de pulpa, papel y cartón",Papel y Celulosa
FERIONIA<XMEX>,Ferrioni,A,MX,Accion,cancelado,FERIONIA,BMV,-,30/05/1994,04/05/2000,Peso Mexico,Tienda de ropas y accesorios de vestir,Comercio
FNAIM18<XMEX>,Fnaim,18,MX,Accion,cancelado,FNAIM18,BMV,-,08/06/2018,21/02/2019,Peso Mexico,Bancos,Finanzas y Seguros
FOTOLUZB<XMEX>,Fotoluz Corp,B,MX,Accion,cancelado,FOTOLUZB,BMV,-,15/12/1994,12/08/1999,Peso Mexico,Tienda de artículos deportivos e instrumentos musicales,Comercio
GACCIONB<XMEX>,Gaccion,B,MX,Accion,cancelado,GACCIONB,BMV,-,01/07/1997,18/04/2005,Peso Mexico,Servicios inmobiliarios,Otros
GAMB<XMEX>,Gazucarero Mex,B,MX,Accion,cancelado,GAMB,BMV,-,01/10/1997,19/10/2012,Peso Mexico,"Elaboración de azúcares, chocolates, dulces y similares",Alimentos y Beb
GCORVIA<XMEX>,Gcorvi,A,MX,Accion,cancelado,GCORVIA,BMV,-,08/05/1996,24/10/2007,Peso Mexico,Comercio al por mayor de productos de tienda de comestibles,Comercio
GEPMB<XMEX>,Gemp Priv Mex,B,MX,Accion,cancelado,GEPMB,BMV,-,27/07/1998,03/11/1999,Peso Mexico,Corporativos,Otros
GEOC<XMEX>,Geo Corporacion,C,MX,Accion,cancelado,GEOC,BMV,-,-,-,Peso Mexico,Edificación residencial,Construcción
GFCRECEA<XMEX>,Gfbancrecer,A,MX,Accion,cancelado,GFCRECEA,BMV,-,13/02/1998,23/02/1998,Peso Mexico,Bancos,Finanzas y Seguros
GFCRECEB<XMEX>,Gfbancrecer,B,MX,Accion,cancelado,GFCRECEB,BMV,-,09/02/1998,26/02/1998,Peso Mexico,Bancos,Finanzas y Seguros
GFBBB<XMEX>,Gfbbva Bancomer,B,MX,Accion,cancelado,GFBBB,BMV,-,17/03/1992,26/07/2004,Peso Mexico,Bancos,Finanzas y Seguros
GFBITALL<XMEX>,Gfbital,L,MX,Accion,cancelado,GFBITALL,BMV,-,04/01/1996,21/11/2002,Peso Mexico,Bancos,Finanzas y Seguros
GFBITALO<XMEX>,Gfbital,O,MX,Accion,cancelado,GFBITALO,BMV,-,20/02/1995,21/11/2002,Peso Mexico,Bancos,Finanzas y Seguros
GFINTERO<XMEX>,GFinteracciones,O,MX,Accion,cancelado,GFINTERO,BMV,-,16/12/1992,13/07/2018,Peso Mexico,"Actividades bursátiles, cambiarias y de inversión financiera",Finanzas y Seguros
GFMULTIA<XMEX>,GFMultiva,A,MX,Accion,cancelado,GFMULTIA,BMV,-,15/07/1998,23/04/1999,Peso Mexico,Otros servicios relacionados con la intermediación bursátil,Finanzas y Seguros
GFSCTIAB<XMEX>,Gfscotiainverlat,B,MX,Accion,cancelado,GFSCTIAB,BMV,-,29/11/1995,29/11/1995,Peso Mexico,Bancos,Finanzas y Seguros
GICONSAL<XMEX>,Giconsa,L,MX,Accion,cancelado,GICONSAL,BMV,-,17/11/1998,17/03/2000,Peso Mexico,Construcción pesada y ingeniería civil,Construcción
GICONSA<XMEX>,Giconsa,Ord,MX,Accion,cancelado,GICONSA,BMV,-,29/07/1998,09/11/2001,Peso Mexico,Construcción pesada y ingeniería civil,Construcción
GISSA<XMEX>,GInd Saltillo,Ord,MX,Accion,cancelado,GISSA,BMV,-,10/12/1991,09/04/2010,Peso Mexico,Fabricación de productos a base de arcillas y minerales refractarios,Minerales no Met
GMARTI<XMEX>,GMarti,*,MX,Accion,cancelado,GMARTI,BMV,-,13/04/1992,26/11/2012,Peso Mexico,Tienda de artículos deportivos e instrumentos musicales,Comercio
GMDR<XMEX>,GMD Resorts,*,MX,Accion,cancelado,GMDR,BMV,-,22/01/2008,05/05/2014,Peso Mexico,Loteamento de inmuebles,Construcción
GMDB<XMEX>,GMex Desarrollo,B,MX,Accion,cancelado,GMDB,BMV,-,14/12/1993,18/01/2008,Peso Mexico,"Construcción de carreteras, calles, puentes y tuneles",Construcción
GMDL<XMEX>,GMex Desarrollo,L,MX,Accion,cancelado,GMDL,BMV,-,24/08/1994,11/01/2001,Peso Mexico,"Construcción de carreteras, calles, puentes y tuneles",Construcción
GMODELOC<XMEX>,GModelo,C,MX,Accion,cancelado,GMODELOC,BMV,-,16/02/1994,02/09/2015,Peso Mexico,Industria de las bebidas,Alimentos y Beb
GMODERN<XMEX>,GModerna,*,MX,Accion,cancelado,GMODERN,BMV,-,-,-,Peso Mexico,Otras industrias alimentarias,Alimentos y Beb
GMODERNA<XMEX>,GModerna,A,MX,Accion,cancelado,GMODERNA,BMV,-,07/01/1992,08/11/2010,Peso Mexico,Otras industrias alimentarias,Alimentos y Beb
GOMO<XMEX>,Gomo,Ord,MX,Accion,cancelado,GOMO,BMV,-,12/09/1997,28/07/2008,Peso Mexico,Comercio al por mayor de articulos electricos,Comercio
GPQB<XMEX>,Gprove Quim,B,MX,Accion,cancelado,GPQB,BMV,-,06/02/1998,24/11/2003,Peso Mexico,Comercio al por mayor de productos químicos,Comercio
GSYRB<XMEX>,Gsalinas Y Rocha,B,MX,Accion,cancelado,GSYRB,BMV,-,18/12/1991,13/01/1999,Peso Mexico,Tienda de muebles,Comercio
GSERFINA<XMEX>,Gserfin Gpo Fin,A,MX,Accion,cancelado,GSERFINA,BMV,-,02/01/1992,10/06/1999,Peso Mexico,Instituciones de intermediación crediticia y financiera no bursátil,Finanzas y Seguros
GSERFINB<XMEX>,Gserfin Gpo Fin,B,MX,Accion,cancelado,GSERFINB,BMV,-,02/12/1991,10/06/1999,Peso Mexico,Instituciones de intermediación crediticia y financiera no bursátil,Finanzas y Seguros
GSERFINL<XMEX>,Gserfin Gpo Fin,L,MX,Accion,cancelado,GSERFINL,BMV,-,09/02/1998,08/06/1999,Peso Mexico,Instituciones de intermediación crediticia y financiera no bursátil,Finanzas y Seguros
HOGARB<XMEX>,Hogar Consorcio,B,MX,Accion,cancelado,HOGARB,BMV,-,23/05/1997,04/08/2016,Peso Mexico,Edificación residencial,Construcción
HYLSAMXB<XMEX>,Hylsamex,B,MX,Accion,cancelado,HYLSAMXB,BMV,-,02/01/1995,19/12/2005,Peso Mexico,Fabricación de productos de hierro y acero,Siderur & Metalur
HYLSAMXCPO<XMEX>,Hylsamex,CPO,MX,Accion,cancelado,HYLSAMXCPO,BMV,-,25/02/2004,29/07/2004,Peso Mexico,Fabricación de productos de hierro y acero,Siderur & Metalur
HYLSAMXL<XMEX>,Hylsamex,L,MX,Accion,cancelado,HYLSAMXL,BMV,-,15/07/2004,20/12/2005,Peso Mexico,Fabricación de productos de hierro y acero,Siderur & Metalur
IEMA<XMEX>,Iem,A,MX,Accion,cancelado,IEMA,BMV,-,-,-,Peso Mexico,Fabricación de aparatos eléctricos de uso doméstico,Electroelectronic
IEMB<XMEX>,Iem,B,MX,Accion,cancelado,IEMB,BMV,-,28/09/1998,28/09/1998,Peso Mexico,Fabricación de aparatos eléctricos de uso doméstico,Electroelectronic
IMSA<XMEX>,Imsa Gpo,Ord,MX,Accion,cancelado,IMSA,BMV,-,13/12/1996,08/08/2007,Peso Mexico,Industria básica del hierro y del acero,Siderur & Metalur
INCARSOB-1<XMEX>,Incarso,B-1,MX,Accion,cancelado,INCARSOB-1,BMV,-,05/01/2011,30/11/2015,Peso Mexico,Loteamento de inmuebles,Construcción
IASASA<XMEX>,Ind. Automotriz,*,MX,Accion,cancelado,IASASA,BMV,-,15/06/1994,27/10/2011,Peso Mexico,Fabricación de partes para vehículos automotores,Vehículos y Pieza
INGEALL<XMEX>,Ingeal,L,MX,Accion,cancelado,INGEALL,BMV,-,08/12/1994,10/05/2002,Peso Mexico,Elaboración de productos de panadería y tortillas,Alimentos y Beb
CERAMICD<XMEX>,Inter de Ceramica,D,MX,Accion,cancelado,CERAMICD,BMV,-,07/01/1992,30/10/2017,Peso Mexico,Fabricación de productos a base de arcillas y minerales refractarios,Minerales no Met
CELA<XMEX>,Iusacell Gpo,A,MX,Accion,cancelado,CELA,BMV,-,15/06/1994,22/07/1999,Peso Mexico,Telecomunicaciones,Telecomunicación
CEL<XMEX>,Iusacell Gpo,Ord,MX,Accion,cancelado,CEL,BMV,-,15/06/1994,30/06/2010,Peso Mexico,Telecomunicaciones,Telecomunicación
IXEGFO<XMEX>,Ixe Gpo Financiero,O,MX,Accion,cancelado,IXEGFO,BMV,-,29/12/1994,13/04/2011,Peso Mexico,Bancos,Finanzas y Seguros
MAIZORO<XMEX>,Maizoro,Ord,MX,Accion,cancelado,MAIZORO,BMV,-,26/08/1997,17/10/2003,Peso Mexico,Molienda de granos y de semillas oleaginosas,Alimentos y Beb
MADISAB<XMEX>,Maq Diesel,B,MX,Accion,cancelado,MADISAB,BMV,-,22/05/1996,12/04/2007,Peso Mexico,"Comercio al por mayor de máquinas, equipos y  accesorios",Comercio
MADISAL<XMEX>,Maq Diesel,L,MX,Accion,cancelado,MADISAL,BMV,-,22/05/1996,12/04/2007,Peso Mexico,"Comercio al por mayor de máquinas, equipos y  accesorios",Comercio
MASECAB<XMEX>,Maseca,B,MX,Accion,cancelado,MASECAB,BMV,-,02/01/1992,04/10/2017,Peso Mexico,Molienda de granos y de semillas oleaginosas,Alimentos y Beb
MAXCOMCPO<XMEX>,Maxcom Telecom,CPO,MX,Accion,cancelado,MAXCOMCPO,BMV,-,18/10/2007,22/08/2016,Peso Mexico,Otros servicios de telecomunicaciones,Telecomunicación
MEDICAA<XMEX>,Medica Sur,A,MX,Accion,cancelado,MEDICAA,BMV,-,19/07/1994,12/02/2003,Peso Mexico,Consultorios médicos,Otros
MEDICAL<XMEX>,Medica Sur,L,MX,Accion,cancelado,MEDICAL,BMV,-,11/03/1994,24/02/2003,Peso Mexico,Consultorios médicos,Otros
NADROB<XMEX>,Nadro,B,MX,Accion,cancelado,NADROB,BMV,-,16/01/1997,02/12/2004,Peso Mexico,Comercio al por mayor de material primario para productos rurales,Comercio
OPCAPA<XMEX>,Opcap,A,MX,Accion,cancelado,OPCAPA,BMV,-,-,-,Peso Mexico,Corporativos,Otros
OPCAPB<XMEX>,Opcap,B,MX,Accion,cancelado,OPCAPB,BMV,-,04/11/1998,21/11/2001,Peso Mexico,Corporativos,Otros
PARRAS<XMEX>,Parras Cia Indus,Ord,MX,Accion,cancelado,PARRAS,BMV,-,19/02/1992,22/12/2008,Peso Mexico,Fabricación de telas,Textil
PATRIA<XMEX>,Patria Reasegurador,*,MX,Accion,cancelado,PATRIA,BMV,-,09/09/1994,28/03/2011,Peso Mexico,Instituciones de seguros,Finanzas y Seguros
PATRIAB<XMEX>,Patria Reasegurador,B,MX,Accion,cancelado,PATRIAB,BMV,-,01/10/1999,27/07/2004,Peso Mexico,Instituciones de seguros,Finanzas y Seguros
