Fecha,ALPEKA,ALSEA,AMXB,ARA,AC,ASURB,AUTLANB,AXTELCPO,BACHOCOB,BIMBOA,BOLSAA,CEMEXCPO,CHDRAUIB,ELEKTRA,FUNO11,FEMSAUBD,GCARSOA1,LABB,GENTERA,GFNORTEO,GFINBURO,GISSAA,GMEXICOB,GAPB,GRUMAB,HERDEZ,HOMEX,ICHB,KIMBERA,LIVEPOLC-1,MEGACPO,MFRISCOA-1,OMAB,ORBIA,PE&OLES,PINFRA,Q,RA,SIGMAFA,SIMECB,SORIANAB,SPORTS,TLEVISACPO,VESTA,WALMEX
2013-05-13,14.603723831,33.561028473,9.0905304622,3.5210408454,69.84816315,94.749629674,8.8720048029,4.7,28.852391173,32.753145142,19.801212752,11.4382835,41.533921578,513.67349268,16.349447309,102.71201651,60.598945824,22.618520535,12.837687592,53.785604623,27.208133247,16.339749413,25.060619221,38.313142749,50.959473998,26.164455604,10.094389009,89.818733632,21.628905976,125.36649791,22.817760654,56.427366075,24.579906282,39.416013437,398.31651997,88.47241127,19.881472548,44.823547968,15.838076847,54.014148401,46.651123828,18.90870233,55.131780507,17.381233375,25.726906176
2013-05-14,14.635231326,33.924808382,8.9896264914,3.5137205941,69.526187505,95.935499037,8.9310530878,4.75,28.852391173,33.548166804,19.939441113,11.652305437,42.702529907,493.38536572,16.314067403,104.60918863,60.910197365,22.618520535,12.844440715,55.646884588,27.615341105,16.227833321,25.197302703,38.425762216,51.91684033,26.225021474,10.04774211,88.181487768,21.558926937,128.04416414,22.817760654,56.158877418,25.197979569,39.174437738,397.73262705,89.419947891,19.80995646,46.020200484,15.748247272,55.377576075,46.632728274,18.860832197,55.354189551,16.604558442,25.532373805
2013-05-15,14.850532541,33.505062334,9.0538381091,3.4771193379,69.90981806,96.228635284,9.0122444795,4.74,29.184027853,33.23365274,20.159405132,12.001081926,42.236843881,484.17978137,16.730764065,104.770963,60.624883452,22.551725347,13.229368749,54.276360112,27.681824021,16.080575305,24.9298785,38.009070187,53.961385378,26.067550213,9.7958488541,89.081494267,22.081078227,126.43422774,23.217071466,55.733770378,25.044738258,38.397478056,397.41106283,89.542210681,20.989971917,45.784689085,16.07387948,54.901310244,46.540750506,18.745943879,55.910212163,15.978207689,25.004357367
2013-05-16,14.204628897,33.850186862,9.0538381091,3.4405180817,71.115514089,95.888863725,8.9605772302,4.67,29.341555276,32.831773658,19.903771272,12.001081926,42.166551651,474.07816167,17.682090405,104.86655694,59.682482954,23.269773618,13.215862502,53.839468031,26.850787575,16.257284924,24.626797736,38.009070187,51.87627396,26.000927757,9.2080979229,88.957025283,21.795779069,126.4258861,22.975912443,54.771686024,24.053777781,38.044908116,378.34568957,87.379687586,21.683677973,47.178661962,16.292839068,54.835940424,46.264817203,18.573611402,56.012862492,16.441707246,25.233627662
2013-05-17,13.852795206,33.514390024,9.0263188444,3.3892763231,71.485443553,96.608379968,8.8350996248,4.56,29.383009861,32.805564153,20.076175503,12.064495833,41.779944384,467.55125146,17.697814807,104.87391032,60.391444797,23.712291739,13.452221822,54.767115601,26.318924249,16.080575305,24.519828055,37.98091532,49.020401512,25.601193018,9.198768543,87.45382294,21.92497114,127.23502512,23.079433451,53.216689219,24.023129518,37.274477507,368.46182096,87.112237734,22.098471285,47.038628157,16.455655172,54.658508055,46.218828319,18.678925694,56.77418576,15.953153659,25.414264864
2013-05-20,13.726765227,32.581621028,8.9987995796,3.3307143132,70.266046432,95.762282164,8.643192699,4.42,28.968464011,31.696028428,19.588687676,11.794986728,41.902955787,449.70599985,17.57988179,103.16057271,57.780390204,23.53695437,13.078548993,54.084845775,25.014197029,16.080575305,23.90384213,37.001125956,47.551898918,24.383819042,9.1894391632,87.338928493,21.860375104,122.59707364,23.004668279,49.267668556,23.44381877,35.544273174,355.5315545,86.798939335,22.169987374,46.363919824,15.770704666,54.919987335,45.915301685,18.765091932,56.885390282,16.116004855,25.080780798
2013-05-21,13.674252735,31.555575132,8.8978956088,3.2355510471,69.135706405,94.929508734,8.5693823429,4.36,29.018209513,32.508523093,19.124979744,11.565111314,41.454842819,434.49226261,17.568088488,99.616243389,57.270283512,22.852303693,13.21002647,53.091365151,25.379853065,16.080575305,23.634722066,37.586747185,48.598511264,24.383819042,8.8255933486,86.955947004,22.172589277,121.7629097,22.768870429,50.039573445,23.026297509,35.283110256,359.36493847,84.483587753,22.670599992,45.625559761,15.388928974,55.555008444,44.480448508,18.430001005,55.388406328,15.658768806,25.032147706
2013-05-22,13.542971507,30.800032246,8.9070686971,3.1623485347,66.909279078,94.876211235,8.47342888,4.33,29.125991434,32.054225001,19.124979744,11.311455686,40.365313249,421.18377951,17.560226287,96.395462803,56.907156715,22.568424144,13.549099962,50.733344875,24.415850788,16.080575305,23.76031143,36.657636581,50.002107666,24.226347782,8.2471717972,86.228282176,21.887290119,125.09122381,22.768870429,51.930181071,22.473081839,36.360407293,358.2394637,84.697547635,23.221273872,44.753531065,15.125054599,53.379127293,44.590821829,18.267242554,54.618528865,15.552289178,25.226680077
2013-05-23,13.653247739,30.790704556,8.870376344,3.1330675298,68.560260573,96.461811844,8.3553323102,4.44,30.220392478,32.316320054,18.934740592,11.279748732,41.287898772,424.97542388,17.454086571,100.4692355,59.397169041,22.451532565,13.666737705,50.009181288,22.695605344,16.168930115,23.479230474,37.744414439,48.501151976,23.923518435,7.724726525,90.029373451,22.619378525,123.76490315,22.970161276,52.455971358,22.765346722,36.719506306,369.47728691,85.217164492,22.98527078,45.962913927,15.866148589,54.695862238,44.563228499,18.114058131,55.730574089,16.316437096,25.824172362
2013-05-24,13.842292707,31.443642853,8.870376344,3.0305840124,68.457502389,96.641690905,7.8608029243,4.57,30.668101997,31.661082421,18.64343689,11.374869593,42.764035608,421.60821731,17.619192796,98.888258736,58.108933497,21.7000867,13.639058236,51.996142536,22.878433362,16.104136588,23.586878499,37.755676386,48.639077634,24.032537,7.7713734243,89.407028532,22.441739426,126.56769397,22.613588918,50.587737786,23.349876486,36.791326109,361.64127465,87.586006044,23.028180433,47.547841994,16.1805521,53.827377487,44.903546239,18.094910078,55.362743746,15.752721418,25.810277193
2013-05-27,13.726765227,31.928682731,8.7602992849,3.1477080322,68.608214392,97.221301211,7.5803235712,4.66,30.668101997,31.46014288,18.738556466,11.255968517,42.966125771,421.79685634,17.112080821,97.65289084,57.330804645,21.967267452,13.798215181,50.164786687,23.177606483,15.962768892,23.443347799,36.618219767,48.476812154,24.825949889,7.454174509,90.048522526,22.436356423,127.5269825,22.653847087,49.290042611,23.887435109,36.980669224,363.07985141,87.058747763,22.885148257,47.051358503,16.197395145,53.976794218,45.023117338,18.094910078,54.490215955,15.965680674,25.608797236
2013-05-28,13.574479002,32.861451727,9.0263188444,3.2721523033,68.526007845,98.140683077,7.1891286839,4.54,30.618356495,32.866719665,19.327108843,11.335235901,43.756913361,427.05988509,17.237876039,99.535356206,59.621961821,22.468231362,13.922772791,50.541830538,23.019709558,15.815510877,24.358356016,37.721890546,47.965675892,24.747214259,7.7433852847,86.620838202,22.011099188,127.60205725,22.579081916,49.1222372,24.826857945,37.542169498,379.95351066,88.793351094,22.899451474,48.241645846,16.444426475,53.780684758,44.875952909,18.085336051,55.823441444,15.903045599,25.476793127
2013-05-29,13.238399057,32.451033368,8.9070686971,3.294113057,68.101274016,98.427157137,7.0119838292,4.38,30.668101997,32.24642804,19.523292968,11.39072307,42.561945446,440.4438238,16.797592775,99.491235924,59.163730386,22.668616926,14.324125088,49.195245355,23.642986893,15.927426969,24.93247882,37.682473732,47.787183864,24.589742999,8.2751599368,86.927223393,22.651676543,124.69916676,22.429551572,48.965618817,24.24232818,37.163483267,383.22838836,88.365431329,23.071090086,47.700606145,16.483726914,53.846054578,42.585706491,18.056613972,56.778202923,16.310173588,25.03909529
