,MFRISCOA-1,RA,SIMECB,FUNO11,ICHB,GENTERA,SORIANAB,ELEKTRA,CHDRAUIB,LIVEPOLC-1,AUTLANB,HERDEZ,GAPB,OMAB,MEGACPO,PINFRA,LABB,ALSEA,ARA,ASURB,AMXB,AC,AXTELCPO,KIMBERA,CEMEXCPO,BIMBOA,BOLSAA,GCARSOA1,FEMSAUBD,GFNORTEO,GFINBURO,ORBIA,GRUMAB,GMEXICOB,PE&OLES,TLEVISACPO,SIGMAFA,WALMEX
BOLSAA,0.14230525427767607,0.24648122666370523,0.07992050153713007,0.16956192072393841,0.1250536747764984,0.1941274702752646,0.1038416126808499,0.08573620947649865,0.20628862442379395,0.2177130930634362,0.11281746607714119,0.18106636478223667,0.1670670953992771,0.20626210068410136,0.15451311689001937,0.2197291394638721,0.16396646257242872,0.21883496494605878,0.18553925888793205,0.15897539379380324,0.207496077508138,0.17136848452846365,0.17642858694234925,0.21565546354554893,0.21356872728809664,0.1872282202438679,1.0,0.19602206446831488,0.20351097761323528,0.2413459181217846,0.23057303276440647,0.21903428504465225,0.14451210479906934,0.2535246442709134,0.19179445644645318,0.16734848764759053,0.21318364390722075,0.16431092716326554
GCARSOA1,0.21064715169905415,0.20348480118971185,0.12211093044263993,0.2634239909116851,0.189603228097852,0.2752663336542918,0.1800270706393327,0.15051365045408419,0.258455317654174,0.26770415628243815,0.12422707428951317,0.20290649488202878,0.29177874165843215,0.2705542258141471,0.14623791783211432,0.30044604426207744,0.1931010842766975,0.2683296990896731,0.19396884695998534,0.28309799062434565,0.2904724753356982,0.2420264282227829,0.17480277934087382,0.262807637784373,0.28808739224993574,0.3588575471402337,0.19602206446831488,0.9999999999999999,0.2649862316549947,0.3134812650165333,0.4443778926926247,0.32049485947354156,0.215783359536181,0.3169658889814101,0.2743525293870252,0.27151688317510314,0.3401504337573045,0.23496997130592892
FEMSAUBD,0.12501519680252288,0.22558623207122439,0.12409429114649283,0.21278573950722682,0.16879628045715522,0.24243377863995463,0.17434493241737573,0.11866583048271986,0.20111928117178665,0.30541452407242203,0.12930120188275984,0.16849161103377702,0.26787688108973184,0.255944741542189,0.08133581548993313,0.22626784816608778,0.1583107478081217,0.2718821902829787,0.187487676417553,0.3048117877625627,0.28053217932622965,0.290877639832267,0.14717414551166005,0.22633043976663322,0.2761866819032422,0.2676834108316219,0.20351097761323528,0.2649862316549947,0.9999999999999999,0.33610840433866146,0.3002265722592531,0.26727286445808635,0.17557820853281564,0.24694504656290722,0.1723756152839704,0.28520916934053203,0.2650590952923709,0.2246995430555753
GFNORTEO,0.1684287700120923,0.36703999574437435,0.12117307348818278,0.2958567277939808,0.17653863499281844,0.28668750158021167,0.22566479357482955,0.1093443082894295,0.2640457778564208,0.3332073035692995,0.15128594369920026,0.20299833547895804,0.30265224393125134,0.3076778408663884,0.16793266298530007,0.2646635943929349,0.18065993131900357,0.29825827753890183,0.22606305057121448,0.2948026474169548,0.28565872337825116,0.23063312277253334,0.20752997750556332,0.2431874587281015,0.3628531277354629,0.30539407230698046,0.2413459181217846,0.3134812650165333,0.33610840433866146,0.9999999999999998,0.41504146998983593,0.34404307716199317,0.1912274741336252,0.29684465744656563,0.22857562733574044,0.2634093652489923,0.3186906066769447,0.2727760679358811
GFINBURO,0.23362509507832674,0.2951714389609622,0.08563352899161987,0.295639923882298,0.16385041786738447,0.32566505204975515,0.15768449709802632,0.10562040833594714,0.28685521766940825,0.3397019208526269,0.1350957931259462,0.20870112438029512,0.3116357411230774,0.284253182273855,0.17002614235538835,0.30234374194688907,0.20541150491165702,0.28750737751989147,0.22723888183198693,0.28951511453379913,0.31572672450603423,0.2591456859414257,0.16918562739082207,0.2988531909803561,0.32207867656718514,0.3695202967452111,0.23057303276440652,0.4443778926926247,0.3002265722592531,0.41504146998983593,1.0000000000000002,0.32307506869462704,0.22460025522065896,0.3255186906517456,0.27826465364922354,0.29016375566962593,0.3305473876365108,0.23509438206716976
ORBIA,0.1972278990774991,0.1871501681985991,0.13212316643874303,0.22377989713974422,0.19121007385267735,0.2115038694661563,0.1636780816217929,0.12882295280307282,0.2342337222639265,0.31239681790093843,0.14499238013808116,0.1619136091249357,0.25647778788245235,0.24057387206429046,0.16614314321359383,0.27779790217710454,0.20201443775066327,0.28825449409086523,0.20089303293906738,0.24982891992758408,0.2744865117481973,0.20759101077691344,0.1640690008120733,0.245452410102483,0.3420008897533609,0.3121692021742974,0.21903428504465225,0.32049485947354156,0.26727286445808635,0.3440430771619931,0.32307506869462704,1.0000000000000002,0.19468137051544576,0.35278933948126984,0.2522526689125885,0.23328683413305817,0.3377999188142787,0.2222396716590446
GRUMAB,0.10725036991348039,0.13452743973362,0.08665369962314576,0.1121151079337464,0.11000894822609689,0.1610825427944412,0.14050653227601304,0.10180911983042205,0.17042014206862274,0.163726627929243,0.08264215426655845,0.14447181780867774,0.16591950324337584,0.18188301378160762,0.13746422657211926,0.19377694080808952,0.11759861229395072,0.18483536092896413,0.12387374465755202,0.16067769474450616,0.17218924579291325,0.19319741465753218,0.14071090657913587,0.18989094650761376,0.18782837120968296,0.2699905047315487,0.14451210479906937,0.215783359536181,0.1755782085328156,0.19122747413362523,0.22460025522065896,0.1946813705154458,0.9999999999999999,0.20251417152849147,0.16280854432090713,0.17405539394709912,0.22382837863568653,0.2005289162909681
GMEXICOB,0.2064382003309951,0.22806439477751608,0.12934219214394138,0.22970365184341643,0.19263623854775344,0.19265800146407747,0.15008403923720628,0.10186882159984352,0.2325765671416485,0.2381224202375799,0.16826132384229478,0.14058831868930377,0.26153830925326926,0.25574115232887795,0.15031043604539174,0.27567991880950493,0.20522683831305888,0.23265657200612758,0.24463354627413664,0.24652099045082107,0.27845254466947345,0.22183850005524508,0.17390660255074644,0.24106404874764842,0.3777629595943248,0.28828556335605715,0.25352464427091337,0.3169658889814101,0.24694504656290725,0.2968446574465656,0.3255186906517456,0.35278933948126984,0.20251417152849147,0.9999999999999998,0.3816666723988199,0.27528246566452763,0.28501651564865593,0.2218136452645981
PE&OLES,0.2855368175751906,0.16057679477043077,0.12305570691759479,0.16526879217416263,0.16226202149858346,0.1658480301282163,0.11757441221302663,0.09995783085195964,0.20317598067239528,0.238298362377415,0.1645061477114577,0.12393337696372357,0.2010331051752531,0.15124510368503857,0.13429417562186546,0.20417263288073542,0.10860584345782169,0.1837042100007943,0.19339884330941173,0.16250776499184266,0.18769641720182156,0.18134526481466748,0.1304179739211931,0.20754639647757633,0.2300201758507468,0.2582466439643277,0.19179445644645318,0.2743525293870252,0.17237561528397038,0.22857562733574044,0.27826465364922354,0.2522526689125885,0.16280854432090713,0.3816666723988199,0.9999999999999999,0.18725947812081137,0.22255590611423243,0.17980556532688233
TLEVISACPO,0.15093182989159706,0.20684244932995788,0.07654785487289587,0.2241973934013321,0.1286905844221197,0.2145098410874463,0.14627190564157272,0.09572049554708736,0.2215410937556681,0.23851050785942335,0.07210849661641254,0.15585264315649183,0.27906714545991856,0.25965157001032924,0.20445166921840377,0.21151728603294906,0.15768808324421338,0.24390062891987513,0.14468327924764887,0.29226640513318514,0.30776179000149156,0.14954679959824263,0.18028329286984227,0.19026569407422744,0.34890945773840376,0.23609558506854825,0.16734848764759053,0.27151688317510314,0.285209169340532,0.2634093652489923,0.29016375566962593,0.23328683413305823,0.17405539394709912,0.2752824656645277,0.18725947812081137,1.0000000000000002,0.25413636462795813,0.17845223479106787
