,MFRISCOA-1,RA,SIMECB,FUNO11,ICHB,GENTERA,SORIANAB,ELEKTRA,CHDRAUIB,LIVEPOLC-1,AUTLANB,HERDEZ,GAPB,OMAB,MEGACPO,PINFRA,LABB,ALSEA,ARA,ASURB,AMXB,AC,AXTELCPO,KIMBERA,CEMEXCPO,BIMBOA,BOLSAA,GCARSOA1,FEMSAUBD,GFNORTEO,GFINBURO,ORBIA,GRUMAB,GMEXICOB,PE&OLES,TLEVISACPO,SIGMAFA,WALMEX
KIMBERA,7.92E-05,5.44E-05,2.82E-05,5.16E-05,4.67E-05,8.53E-05,3.93E-05,4.40E-05,5.32E-05,7.53E-05,3.53E-05,4.88E-05,6.27E-05,5.72E-05,3.81E-05,5.39E-05,7.10E-05,7.46E-05,5.97E-05,5.92E-05,5.35E-05,5.04E-05,7.43E-05,0.000272532,9.49E-05,8.84E-05,6.36E-05,8.97E-05,5.19E-05,7.98E-05,9.63E-05,7.28E-05,5.27E-05,7.75E-05,8.50E-05,6.43E-05,8.93E-05,5.60E-05
CEMEXCPO,0.000115272,0.000102816,5.54E-05,8.74E-05,5.86E-05,0.000153454,8.15E-05,6.76E-05,0.000100613,0.000104393,8.98E-05,6.14E-05,0.000113403,0.000125956,5.58E-05,8.24E-05,0.000109814,0.000116525,0.00012182,0.000121306,0.000110104,6.84E-05,0.000132438,9.49E-05,0.00056266,0.000106754,9.05E-05,0.000141284,9.10E-05,0.000171083,0.000149123,0.000145749,7.49E-05,0.000174503,0.000135358,0.000169425,0.000140146,7.36E-05
BIMBOA,7.50E-05,5.97E-05,2.89E-05,6.54E-05,6.79E-05,8.21E-05,4.67E-05,5.73E-05,7.86E-05,8.67E-05,3.72E-05,5.28E-05,7.85E-05,7.14E-05,3.44E-05,6.57E-05,7.79E-05,8.26E-05,8.03E-05,7.30E-05,7.02E-05,6.68E-05,9.24E-05,8.84E-05,0.000106754,0.000312217,5.91E-05,0.000131098,6.57E-05,0.000107261,0.000127446,9.91E-05,8.02E-05,9.92E-05,0.000113203,8.54E-05,9.98E-05,6.46E-05
BOLSAA,6.50E-05,8.08E-05,2.46E-05,4.95E-05,4.24E-05,7.94E-05,3.11E-05,3.15E-05,6.20E-05,6.50E-05,4.41E-05,5.86E-05,5.35E-05,7.11E-05,4.30E-05,5.82E-05,6.86E-05,7.36E-05,6.86E-05,4.91E-05,5.66E-05,3.94E-05,9.42E-05,6.36E-05,9.05E-05,5.91E-05,0.000319136,7.24E-05,5.05E-05,8.57E-05,8.04E-05,7.03E-05,4.34E-05,8.82E-05,8.50E-05,6.12E-05,7.52E-05,4.58E-05
GCARSOA1,0.000111354,7.72E-05,4.35E-05,8.90E-05,7.44E-05,0.0001303,6.24E-05,6.40E-05,8.99E-05,9.25E-05,5.62E-05,7.60E-05,0.000108137,0.000107935,4.71E-05,9.21E-05,9.35E-05,0.000104445,8.30E-05,0.000101192,9.17E-05,6.44E-05,0.000108016,8.97E-05,0.000141284,0.000131098,7.24E-05,0.000427456,7.61E-05,0.000128828,0.000179332,0.000119048,7.50E-05,0.00012762,0.000140718,0.000114917,0.000138865,7.58E-05
FEMSAUBD,4.44E-05,5.75E-05,2.97E-05,4.83E-05,4.45E-05,7.71E-05,4.06E-05,3.39E-05,4.70E-05,7.09E-05,3.93E-05,4.24E-05,6.67E-05,6.86E-05,1.76E-05,4.66E-05,5.15E-05,7.11E-05,5.39E-05,7.32E-05,5.95E-05,5.20E-05,6.11E-05,5.19E-05,9.10E-05,6.57E-05,5.05E-05,7.61E-05,0.000192944,9.28E-05,8.14E-05,6.67E-05,4.10E-05,6.68E-05,5.94E-05,8.11E-05,7.27E-05,4.87E-05
GFNORTEO,8.56E-05,0.000133877,4.15E-05,9.61E-05,6.66E-05,0.000130469,7.52E-05,4.47E-05,8.83E-05,0.00011069,6.58E-05,7.31E-05,0.000107838,0.000118008,5.20E-05,7.80E-05,8.41E-05,0.000111614,9.30E-05,0.000101309,8.67E-05,5.90E-05,0.00012329,7.98E-05,0.000171083,0.000107261,8.57E-05,0.000128828,9.28E-05,0.000395099,0.000161029,0.000122863,6.39E-05,0.000114906,0.000112714,0.000107183,0.000125083,8.46E-05
GFINBURO,0.000116596,0.000105724,2.88E-05,9.43E-05,6.07E-05,0.000145538,5.16E-05,4.24E-05,9.42E-05,0.000110815,5.77E-05,7.38E-05,0.000109039,0.00010706,5.17E-05,8.75E-05,9.39E-05,0.000105653,9.18E-05,9.77E-05,9.41E-05,6.51E-05,9.87E-05,9.63E-05,0.000149123,0.000127446,8.04E-05,0.000179332,8.14E-05,0.000161029,0.000380995,0.000113297,7.37E-05,0.000123736,0.000134745,0.000115943,0.0001274,7.16E-05
ORBIA,9.06E-05,6.17E-05,4.09E-05,6.57E-05,6.52E-05,8.70E-05,4.93E-05,4.76E-05,7.08E-05,9.38E-05,5.70E-05,5.27E-05,8.26E-05,8.34E-05,4.65E-05,7.40E-05,8.50E-05,9.75E-05,7.47E-05,7.76E-05,7.53E-05,4.80E-05,8.81E-05,7.28E-05,0.000145749,9.91E-05,7.03E-05,0.000119048,6.67E-05,0.000122863,0.000113297,0.000322783,5.88E-05,0.000123433,0.000112431,8.58E-05,0.000119837,6.23E-05
GRUMAB,4.61E-05,4.15E-05,2.51E-05,3.08E-05,3.51E-05,6.20E-05,3.96E-05,3.52E-05,4.82E-05,4.60E-05,3.04E-05,4.40E-05,5.00E-05,5.90E-05,3.60E-05,4.83E-05,4.63E-05,5.85E-05,4.31E-05,4.67E-05,4.42E-05,4.18E-05,7.07E-05,5.27E-05,7.49E-05,8.02E-05,4.34E-05,7.50E-05,4.10E-05,6.39E-05,7.37E-05,5.88E-05,0.000282615,6.63E-05,6.79E-05,5.99E-05,7.43E-05,5.26E-05
GMEXICOB,0.000102791,8.15E-05,4.34E-05,7.31E-05,7.12E-05,8.59E-05,4.90E-05,4.08E-05,7.62E-05,7.75E-05,7.17E-05,4.96E-05,9.13E-05,9.61E-05,4.56E-05,7.96E-05,9.36E-05,8.53E-05,9.86E-05,8.30E-05,8.28E-05,5.56E-05,0.000101221,7.75E-05,0.000174503,9.92E-05,8.82E-05,0.00012762,6.68E-05,0.000114906,0.000123736,0.000123433,6.63E-05,0.000379246,0.000184391,0.000109744,0.000109599,6.74E-05
PE&OLES,0.000181118,7.31E-05,5.26E-05,6.70E-05,7.64E-05,9.42E-05,4.89E-05,5.10E-05,8.48E-05,9.88E-05,8.93E-05,5.57E-05,8.94E-05,7.24E-05,5.19E-05,7.51E-05,6.31E-05,8.58E-05,9.93E-05,6.97E-05,7.11E-05,5.79E-05,9.67E-05,8.50E-05,0.000135358,0.000113203,8.50E-05,0.000140718,5.94E-05,0.000112714,0.000134745,0.000112431,6.79E-05,0.000184391,0.000615446,9.51E-05,0.000109021,6.96E-05
TLEVISACPO,7.90E-05,7.77E-05,2.70E-05,7.50E-05,5.00E-05,0.000100539,5.02E-05,4.03E-05,7.63E-05,8.16E-05,3.23E-05,5.78E-05,0.000102406,0.000102564,6.52E-05,6.42E-05,7.56E-05,9.40E-05,6.13E-05,0.000103439,9.62E-05,3.94E-05,0.000110304,6.43E-05,0.000169425,8.54E-05,6.12E-05,0.000114917,8.11E-05,0.000107183,0.000115943,8.58E-05,5.99E-05,0.000109744,9.51E-05,0.000419067,0.000102727,5.70E-05
SIGMAFA,8.74E-05,9.17E-05,4.66E-05,7.92E-05,6.01E-05,0.000130067,6.96E-05,5.53E-05,7.74E-05,0.000103163,5.40E-05,6.57E-05,0.000113075,0.000111341,3.78E-05,8.19E-05,8.84E-05,9.39E-05,7.88E-05,9.82E-05,8.59E-05,6.20E-05,0.000103089,8.93E-05,0.000140146,9.98E-05,7.52E-05,0.000138865,7.27E-05,0.000125083,0.0001274,0.000119837,7.43E-05,0.000109599,0.000109021,0.000102727,0.000389899,6.80E-05
WALMEX,5.94E-05,5.28E-05,2.13E-05,4.23E-05,4.02E-05,6.17E-05,4.53E-05,3.27E-05,6.25E-05,6.29E-05,3.25E-05,4.46E-05,5.82E-05,5.94E-05,2.87E-05,4.46E-05,5.54E-05,5.85E-05,5.19E-05,5.47E-05,5.47E-05,4.43E-05,6.83E-05,5.60E-05,7.36E-05,6.46E-05,4.58E-05,7.58E-05,4.87E-05,8.46E-05,7.16E-05,6.23E-05,5.26E-05,6.74E-05,6.96E-05,5.70E-05,6.80E-05,0.000243457
