,MFRISCOA-1,RA,SIMECB,FUNO11,ICHB,GENTERA,SORIANAB,ELEKTRA,CHDRAUIB,LIVEPOLC-1,AUTLANB,HERDEZ,GAPB,OMAB,MEGACPO,PINFRA,LABB,ALSEA,ARA,ASURB,AMXB,AC,AXTELCPO,KIMBERA,CEMEXCPO,BIMBOA,BOLSAA,GCARSOA1,FEMSAUBD,GFNORTEO,GFINBURO,ORBIA,GRUMAB,GMEXICOB,PE&OLES,TLEVISACPO,SIGMAFA,WALMEX
AUTLANB,6.987730221410691e-05,4.39492564769348e-05,4.14653497034336e-05,3.7038737472027395e-05,5.662791307024548e-05,5.83703719663255e-05,4.111933564377739e-05,4.0095220798139376e-05,5.100871790963972e-05,5.149931865856622e-05,0.00047879400000000005,4.0106814306344494e-05,3.5195863949911785e-05,3.73495492624175e-05,2.8308785912044035e-05,3.928564138599195e-05,5.721378182750978e-05,5.261065171356759e-05,6.04991086781137e-05,3.434469060198795e-05,4.348236761465687e-05,3.4124563090200966e-05,7.199300599238035e-05,5.0503725647204665e-05,7.6921913586108e-05,5.98767253176585e-05,4.870262542539053e-05,6.933087770816043e-05,3.963177764420866e-05,6.434057470656703e-05,6.594482447347978e-05,6.090726168126228e-05,4.290377825607944e-05,6.762002972483569e-05,7.996714221142923e-05,5.320743000650312e-05,6.17308639122141e-05,4.315867499598299e-05
HERDEZ,5.969537030813765e-05,5.8944455850847775e-05,2.689834478117278e-05,5.1706750598098896e-05,4.023217653712357e-05,7.547295752686239e-05,4.082137175675394e-05,3.274352308413443e-05,5.239315620173937e-05,5.9602201857436124e-05,4.0106814306344494e-05,0.000328204,6.251885993982639e-05,6.565655941850267e-05,3.211278536342125e-05,4.987273800715735e-05,5.6610636406460654e-05,6.320785571666763e-05,5.511987336148597e-05,5.949548908492206e-05,5.1107253823551773e-05,3.931374137597338e-05,7.096648829143373e-05,5.172642131683579e-05,8.539046387419648e-05,6.10740551666571e-05,5.124250136804035e-05,7.586669178722021e-05,4.730293166363059e-05,7.552508554941608e-05,7.555952648707562e-05,6.327964569999807e-05,4.410775280977366e-05,6.820459086085699e-05,7.161438865267738e-05,6.699995746106043e-05,7.15214659206962e-05,4.600731570191587e-05
GAPB,5.1244187837057255e-05,8.848045978438094e-05,7.999234854288707e-06,7.990572445568243e-05,2.011916484008073e-05,0.00011011928162696953,4.5121069167072586e-05,2.543608233125021e-05,6.058368114588735e-05,7.879171746482114e-05,3.5195863949911785e-05,6.251885993982638e-05,0.00032132899999999997,0.00011610466180351214,4.160235027561389e-05,7.168685236394133e-05,6.228618165179433e-05,8.658903522546621e-05,5.339921390606818e-05,0.00010445360268676352,6.858537035924446e-05,5.1736028213515157e-05,7.767234201417283e-05,5.959476151617011e-05,0.0001081338928446622,6.999180027655062e-05,6.104645831767632e-05,9.457904405759982e-05,6.44083164207468e-05,0.00010122776094432427,9.889223811884127e-05,7.423104758420052e-05,5.106121296017008e-05,7.702543118276778e-05,6.731640550171813e-05,9.565460126419843e-05,9.465028471670235e-05,5.5668999973814944e-05
OMAB,5.441659487300102e-05,9.271317835096788e-05,8.990393843895494e-06,8.368521459636399e-05,2.1838496960697213e-05,0.00011544676606520032,4.7583181893567606e-05,2.709857766531749e-05,6.382134328867961e-05,8.276159047477636e-05,3.734954926241751e-05,6.565655941850269e-05,0.00011610466180351211,0.00037232700000000004,4.371658726600226e-05,7.517589316894714e-05,6.569227061794931e-05,9.088709358535232e-05,5.650513267052477e-05,0.00010916579264971072,7.201915815655807e-05,5.4347735048079105e-05,8.193030113537482e-05,6.27848921074197e-05,0.00011368349572787725,7.374760963977582e-05,6.426510035060492e-05,9.946628325950695e-05,6.761346169929095e-05,0.00010629846938019875,0.00010389608491142187,7.817220406803636e-05,5.378856402150258e-05,8.118668556122295e-05,7.12918632287298e-05,0.00010032294002981737,9.941701005689024e-05,5.858376874207632e-05
MEGACPO,4.218633216829491e-05,3.995480923948394e-05,1.9686477043786683e-05,3.4946009725721e-05,2.9079156318826238e-05,5.1300875450130134e-05,2.8395657562113255e-05,2.3259603816172245e-05,3.6325106981754044e-05,4.088001178674765e-05,2.830878591204406e-05,3.211278536342126e-05,4.1602350275613906e-05,4.371658726600226e-05,0.00024267799999999997,3.394826401430258e-05,3.9391687087970316e-05,4.321697810001455e-05,3.867974124896973e-05,3.9648263362735636e-05,3.5007527930058704e-05,2.697510295411358e-05,4.939935946914112e-05,3.587263405162653e-05,5.878091308904403e-05,4.237200891004747e-05,3.544681758249053e-05,5.2292059582449516e-05,3.2359956299446735e-05,5.173895366374205e-05,5.186948561741137e-05,4.382535397000552e-05,3.057807730515022e-05,4.737013749209051e-05,5.0347181785774596e-05,4.5635947770887636e-05,4.905063745529462e-05,3.1786811738591075e-05
PINFRA,5.826107060618254e-05,6.456429215416155e-05,2.3449005153238976e-05,5.706182151440562e-05,3.65876172511864e-05,8.207950027643524e-05,4.1712630033254005e-05,3.1460512887099694e-05,5.4033362672662344e-05,6.330174662713659e-05,3.9285641385991993e-05,4.987273800715736e-05,7.168685236394133e-05,7.517589316894713e-05,3.394826401430258e-05,0.00021983399999999997,5.779327314557367e-05,6.769415215685937e-05,5.4925337162015165e-05,6.798111880797871e-05,5.4469644318961266e-05,4.171029002761746e-05,7.23730697797172e-05,5.33052715664657e-05,8.980863382976983e-05,6.286903384797157e-05,5.3179780172528286e-05,7.951451011409717e-05,5.05874582060925e-05,8.047052977140981e-05,8.006484555887178e-05,6.545736548185913e-05,4.5499384545051624e-05,6.99977489398766e-05,7.097855862229783e-05,7.247436505710031e-05,7.59797512901852e-05,4.790629009077666e-05
LABB,8.570350334960339e-05,6.65105468091913e-05,4.583408439215861e-05,5.724888484537673e-05,6.465499979000818e-05,8.667742365655004e-05,5.378669052606421e-05,4.8286961563028824e-05,6.77560449992078e-05,7.235808862016984e-05,5.721378182750977e-05,5.661063640646063e-05,6.228618165179433e-05,6.569227061794931e-05,3.939168708797031e-05,5.779327314557367e-05,0.000548482,7.528607118022721e-05,7.622573348743897e-05,5.988939599667228e-05,6.15555689492496e-05,4.78400065627612e-05,9.387397754481493e-05,6.699803563353795e-05,0.00010593641942074286,7.928358265995036e-05,6.541041810313146e-05,9.483577364852858e-05,5.652957380838683e-05,9.102564491646865e-05,9.220609157272411e-05,8.132827920507728e-05,5.70133485322783e-05,8.908435578045583e-05,0.00010002239906987201,7.795178677651632e-05,8.677960700414017e-05,5.831682277618372e-05
ALSEA,7.821326382392929e-05,8.031313154803569e-05,3.4013887884898255e-05,7.063798816155168e-05,5.15388119089373e-05,0.00010257537869233086,5.430490420866505e-05,4.268327127539496e-05,6.991642941921943e-05,8.034023152924591e-05,5.261065171356759e-05,6.320785571666762e-05,8.658903522546621e-05,9.088709358535232e-05,4.321697810001454e-05,6.76941521568594e-05,7.528607118022722e-05,0.00035444299999999997,7.271358953924016e-05,8.229689759609578e-05,6.897287524165124e-05,5.297344733490325e-05,9.434452276965065e-05,6.900895737637394e-05,0.00011471469317354564,8.144944506210608e-05,6.852691554578539e-05,0.00010179867288360302,6.391424111719797e-05,0.00010191621362820149,0.00010176880664937135,8.453019439936934e-05,5.886464837145683e-05,9.086620856767875e-05,9.430509751127664e-05,9.088859227879967e-05,9.641497761877225e-05,6.159582505220129e-05
ARA,9.087773132549519e-05,6.218607891980807e-05,5.192373824638138e-05,5.288521167821859e-05,7.173259586457986e-05,8.193022805476455e-05,5.4815000584605555e-05,5.179046651115256e-05,6.841044216260143e-05,7.064406522498948e-05,6.049910867811369e-05,5.511987336148596e-05,5.3399213906068193e-05,5.6505132670524776e-05,3.8679741248969736e-05,5.4925337162015165e-05,7.622573348743901e-05,7.271358953924017e-05,0.00042835199999999995,5.175264045483996e-05,5.98309219309483e-05,4.676799554576008e-05,9.58531683467018e-05,6.769838337508694e-05,0.00010466341263303738,8.020325878826278e-05,6.560384869256517e-05,9.407691750035073e-05,5.470212715965283e-05,8.850839818078504e-05,9.028081626345099e-05,8.185492045200148e-05,5.7549771945056204e-05,9.039482427007281e-05,0.00010477522991996969,7.426102967259633e-05,8.469746642646422e-05,5.827648515077407e-05
ASURB,5.008554059208391e-05,8.374473358913699e-05,8.908006351402738e-06,7.553439910956682e-05,2.070525026620388e-05,0.0001043563532639259,4.3373132917377665e-05,2.505388524088939e-05,5.808690906016336e-05,7.501539224902933e-05,3.4344690601987965e-05,5.9495489084922056e-05,0.00010445360268676352,0.00010916579264971075,3.964826336273565e-05,6.798111880797871e-05,5.988939599667227e-05,8.229689759609577e-05,5.175264045483995e-05,0.000298901,6.525021985032206e-05,4.9267452410408657e-05,7.470653142614547e-05,5.715042768703487e-05,0.00010317391528088721,6.714106262949435e-05,5.843448834313525e-05,9.031395884801844e-05,6.123341122327707e-05,9.631110800934454e-05,9.419916115883812e-05,7.111507514512768e-05,4.895376199925873e-05,7.394976902912106e-05,6.537264527413351e-05,9.073795940995676e-05,9.01091188896263e-05,5.324240312199893e-05
